Bin,MLT_Loc,R_Loc
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,0,1
25,1,1
26,2,1
27,3,1
28,4,1
29,5,1
30,6,1
31,7,1
32,8,1
33,9,1
34,10,1
35,11,1
36,12,1
37,13,1
38,14,1
39,15,1
40,16,1
41,17,1
42,18,1
43,19,1
44,20,1
45,21,1
46,22,1
47,23,1
48,0,2
49,1,2
50,2,2
51,3,2
52,4,2
53,5,2
54,6,2
55,7,2
56,8,2
57,9,2
58,10,2
59,11,2
60,12,2
61,13,2
62,14,2
63,15,2
64,16,2
65,17,2
66,18,2
67,19,2
68,20,2
69,21,2
70,22,2
71,23,2
72,0,3
73,1,3
74,2,3
75,3,3
76,4,3
77,5,3
78,6,3
79,7,3
80,8,3
81,9,3
82,10,3
83,11,3
84,12,3
85,13,3
86,14,3
87,15,3
88,16,3
89,17,3
90,18,3
91,19,3
92,20,3
93,21,3
94,22,3
95,23,3
96,0,4
97,1,4
98,2,4
99,3,4
100,4,4
101,5,4
102,6,4
103,7,4
104,8,4
105,9,4
106,10,4
107,11,4
108,12,4
109,13,4
110,14,4
111,15,4
112,16,4
113,17,4
114,18,4
115,19,4
116,20,4
117,21,4
118,22,4
119,23,4
120,0,5
121,1,5
122,2,5
123,3,5
124,4,5
125,5,5
126,6,5
127,7,5
128,8,5
129,9,5
130,10,5
131,11,5
132,12,5
133,13,5
134,14,5
135,15,5
136,16,5
137,17,5
138,18,5
139,19,5
140,20,5
141,21,5
142,22,5
143,23,5
