L,MLT,er,erstd,eaz,eazstd
4.5,0.5,-0.111,0.201,-0.168,0.242
4.5,1.5,-0.099,0.452,-0.281,0.559
4.5,2.5,-0.280,0.344,-0.177,0.389
4.5,3.5,-0.321,0.316,-0.051,0.285
4.5,4.5,-0.394,0.296,-0.005,0.261
4.5,5.5,-0.302,0.311,-0.011,0.347
4.5,6.5,-0.290,0.368,0.070,0.340
4.5,7.5,-0.214,0.350,0.088,0.582
4.5,8.5,-0.191,0.572,0.134,0.557
4.5,9.5,-0.080,0.291,0.217,0.337
4.5,10.5,-0.140,0.326,0.287,0.409
4.5,11.5,-0.101,0.313,0.200,0.370
4.5,12.5,-0.010,0.419,0.255,0.418
4.5,13.5,0.072,0.397,0.240,0.345
4.5,14.5,0.339,0.500,0.301,0.504
4.5,15.5,0.706,0.757,0.283,0.415
4.5,16.5,0.411,0.504,0.248,0.352
4.5,17.5,0.600,0.447,0.158,0.217
4.5,18.5,0.814,0.886,0.254,0.515
4.5,19.5,0.976,0.705,0.179,0.420
4.5,20.5,1.014,0.907,0.216,0.439
4.5,21.5,1.454,2.123,0.133,0.566
4.5,22.5,0.507,1.338,0.071,1.029
4.5,23.5,0.399,1.095,-0.105,0.749
5.5,0.5,-0.352,0.404,-0.445,0.724
5.5,1.5,-0.351,0.444,-0.558,0.832
5.5,2.5,-0.298,0.335,-0.202,0.394
5.5,3.5,-0.219,0.358,-0.015,0.176
5.5,4.5,-0.299,0.272,-0.021,0.276
5.5,5.5,-0.219,0.508,0.062,0.399
5.5,6.5,-0.279,0.320,0.113,0.379
5.5,7.5,-0.199,0.531,0.075,0.561
5.5,8.5,-0.099,0.304,0.121,0.322
5.5,9.5,-0.106,0.430,0.279,0.471
5.5,10.5,-0.096,0.425,0.257,0.438
5.5,11.5,-0.042,0.611,0.184,0.573
5.5,12.5,0.227,0.659,0.305,0.573
5.5,13.5,0.187,0.732,0.233,0.495
5.5,14.5,0.303,0.566,0.267,0.427
5.5,15.5,0.763,0.617,0.387,0.467
5.5,16.5,0.721,0.599,0.238,0.306
5.5,17.5,0.623,0.407,0.229,0.250
5.5,18.5,0.827,0.604,0.223,0.385
5.5,19.5,0.924,0.698,0.083,0.432
5.5,20.5,0.553,0.409,-0.008,0.394
5.5,21.5,0.458,0.649,-0.117,0.792
5.5,22.5,0.172,0.434,-0.190,0.496
5.5,23.5,-0.003,0.406,-0.272,0.514
6.5,0.5,-0.300,0.395,-0.183,0.790
6.5,1.5,-0.288,0.365,-0.462,0.478
6.5,2.5,-0.256,0.375,-0.240,0.445
6.5,3.5,-0.248,0.201,-0.091,0.331
6.5,4.5,-0.055,0.305,0.003,0.259
6.5,5.5,-0.081,0.265,0.037,0.318
6.5,6.5,-0.193,0.360,0.027,0.275
6.5,7.5,-0.091,0.455,0.165,0.575
6.5,8.5,-0.041,0.494,0.192,0.376
6.5,9.5,-0.043,0.391,0.181,0.436
6.5,10.5,-0.138,0.289,0.351,0.476
6.5,11.5,-0.185,0.617,0.202,0.479
6.5,12.5,0.329,0.565,0.551,0.767
6.5,13.5,0.286,0.548,0.292,0.400
6.5,14.5,0.557,0.679,0.404,0.548
