,ER,EAZ,MLT,L
0,,,0.5,0.5
1,,,1.5,0.5
2,,,2.5,0.5
3,,,3.5,0.5
4,,,4.5,0.5
5,,,5.5,0.5
6,,,6.5,0.5
7,,,7.5,0.5
8,,,8.5,0.5
9,,,9.5,0.5
10,,,10.5,0.5
11,,,11.5,0.5
12,,,12.5,0.5
13,,,13.5,0.5
14,,,14.5,0.5
15,,,15.5,0.5
16,,,16.5,0.5
17,,,17.5,0.5
18,,,18.5,0.5
19,,,19.5,0.5
20,,,20.5,0.5
21,,,21.5,0.5
22,,,22.5,0.5
23,,,23.5,0.5
24,,,0.5,1.5
25,,,1.5,1.5
26,,,2.5,1.5
27,,,3.5,1.5
28,,,4.5,1.5
29,,,5.5,1.5
30,,,6.5,1.5
31,,,7.5,1.5
32,,,8.5,1.5
33,,,9.5,1.5
34,,,10.5,1.5
35,,,11.5,1.5
36,,,12.5,1.5
37,,,13.5,1.5
38,,,14.5,1.5
39,,,15.5,1.5
40,,,16.5,1.5
41,,,17.5,1.5
42,,,18.5,1.5
43,,,19.5,1.5
44,,,20.5,1.5
45,,,21.5,1.5
46,,,22.5,1.5
47,,,23.5,1.5
48,,,0.5,2.5
49,,,1.5,2.5
50,,,2.5,2.5
51,,,3.5,2.5
52,,,4.5,2.5
53,,,5.5,2.5
54,,,6.5,2.5
55,,,7.5,2.5
56,,,8.5,2.5
57,,,9.5,2.5
58,,,10.5,2.5
59,,,11.5,2.5
60,,,12.5,2.5
61,,,13.5,2.5
62,,,14.5,2.5
63,,,15.5,2.5
64,,,16.5,2.5
65,,,17.5,2.5
66,,,18.5,2.5
67,,,19.5,2.5
68,,,20.5,2.5
69,,,21.5,2.5
70,,,22.5,2.5
71,,,23.5,2.5
72,,,0.5,3.5
73,,,1.5,3.5
74,,,2.5,3.5
75,,,3.5,3.5
76,,,4.5,3.5
77,,,5.5,3.5
78,,,6.5,3.5
79,,,7.5,3.5
80,,,8.5,3.5
81,,,9.5,3.5
82,,,10.5,3.5
83,,,11.5,3.5
84,,,12.5,3.5
85,,,13.5,3.5
86,,,14.5,3.5
87,,,15.5,3.5
88,,,16.5,3.5
89,,,17.5,3.5
90,,,18.5,3.5
91,,,19.5,3.5
92,,,20.5,3.5
93,,,21.5,3.5
94,,,22.5,3.5
95,,,23.5,3.5
96,,,0.5,4.5
97,,,1.5,4.5
98,,,2.5,4.5
99,,,3.5,4.5
100,,,4.5,4.5
101,,,5.5,4.5
102,,,6.5,4.5
103,,,7.5,4.5
104,,,8.5,4.5
105,,,9.5,4.5
106,,,10.5,4.5
107,,,11.5,4.5
108,,,12.5,4.5
109,0.004546793760710988,1.4986947831009447,13.5,4.5
110,,,14.5,4.5
111,,,15.5,4.5
112,,,16.5,4.5
113,,,17.5,4.5
114,,,18.5,4.5
115,,,19.5,4.5
116,,,20.5,4.5
117,,,21.5,4.5
118,,,22.5,4.5
119,,,23.5,4.5
120,,,0.5,5.5
121,,,1.5,5.5
122,,,2.5,5.5
123,,,3.5,5.5
124,,,4.5,5.5
125,,,5.5,5.5
126,,,6.5,5.5
127,,,7.5,5.5
128,,,8.5,5.5
129,,,9.5,5.5
130,,,10.5,5.5
131,,,11.5,5.5
132,,,12.5,5.5
133,-0.0571299501499562,0.9432842302410467,13.5,5.5
134,0.03100624858532247,0.9322502148126988,14.5,5.5
135,,,15.5,5.5
136,,,16.5,5.5
137,,,17.5,5.5
138,,,18.5,5.5
139,0.13510829481221515,-0.6198511030928252,19.5,5.5
140,-0.3827760392216214,-0.822807092682514,20.5,5.5
141,,,21.5,5.5
142,,,22.5,5.5
143,,,23.5,5.5
